app_name,task_desc,hash,original_actions,groundtruth_actions,trimmed_actions,correct_actions,total_actions,precision,all_correct,task_completed,prefix_complete,end_correctly,last_action_eval,is_achieved,guardian_actions,action_evals
calendar,"add the event of 'VisitParents' on july 30, remind me 1 hour before, save it",77b4402acf90d06628adf206c1d10e279ca5421920e7f2cd6a6db63e76f56d1c,13,8,13,1,13,0.07692307692307693,False,False,0.0,False,False,False,"-ACTION 1: touched on button that has resource-id ""type_color""
-ACTION 2: touched on button that has content-desc ""New Event""
-ACTION 3: touched on button that has text ""October 7 (Mon)""
-ACTION 4: touched on button that has content-desc ""Next month""
-ACTION 5: scrolled
-ACTION 6: touched on button that has content-desc ""Next month""
-ACTION 7: touched on button that has content-desc ""Next month""
-ACTION 8: touched on button that has content-desc ""Next month""
-ACTION 9: touched on button that has content-desc ""Next month""
-ACTION 10: touched on button that has content-desc ""Next month""
-ACTION 11: touched on button that has content-desc ""Next month""
-ACTION 12: touched on button that has content-desc ""31 May 2025""
-ACTION 13: touched on button that has content-desc ""30 May 2025""
-ACTION 14: scrolled
-ACTION 15: touched on button that has content-desc ""Next month""
- ACTION 16: Task completed?
","[False, True, False, False, False, False, False, False, False, False, False, False, False]"
calendar,change the event reminder sound of Calendar app to adara,e8b601c47a045393c677aeddaee08ed7e638c44377571db157be7628db8d955b,16,5,5,5,5,1.0,True,True,1.0,False,False,True,"-ACTION 1: touched on button that has text ""Holidays""
-ACTION 2: touched on button that has text ""OK""
-ACTION 3: touched on button that has content-desc ""More options""
-ACTION 4: touched on button that has text ""Settings""
-ACTION 5: touched on button that has text ""Reminder sound""","[True, True, True, True, True]"
calendar,change the event type 'regular event' to 'deadlines',19c51276c1302fc90f7dcb004bb49dab4cb435882b03436899252d22baead8ef,16,7,7,0,7,0.0,False,True,0.0,False,True,True,"-ACTION 1: pressed ""BACK"" button to navigate back
-ACTION 2: pressed ""BACK"" button to navigate back
-ACTION 3: pressed ""BACK"" button to navigate back
-ACTION 4: pressed ""BACK"" button to navigate back
-ACTION 5: pressed ""BACK"" button to navigate back
-ACTION 6: pressed ""BACK"" button to navigate back
-ACTION 7: pressed ""BACK"" button to navigate back","[False, False, False, False, False, False, False]"
calendar,change the snooze time to 30 min,c47d189d4fedb22edea24e3cffc93ea0770372573285c05df8b1c8ab69f0b928,6,4,6,2,6,0.3333333333333333,False,False,0.0,False,False,False,"-ACTION 1: touched on button that has text ""OK""
-ACTION 2: touched on button that has content-desc ""More options""
-ACTION 3: touched on button that has text ""Settings""
-ACTION 4: touched on button that has text ""Always use same snooze time OFF""
-ACTION 5: touched on button that has text ""Reminder sound""
-ACTION 6: scrolled
-ACTION 7: scrolled
-ACTION 8: scrolled
-ACTION 9: scrolled
-ACTION 10: scrolled
-ACTION 11: scrolled
-ACTION 12: scrolled
-ACTION 13: scrolled
-ACTION 14: scrolled
-ACTION 15: touched on button that has text ""OK""
- ACTION 16: Task completed?
","[False, True, True, False, False, False]"
calendar,change the view from monthly to yearly,0a5471c24b889666632bb43f683fc08ce43a2fa049b1ac47bb1b8ef23802a607,15,2,15,1,15,0.06666666666666667,False,False,0.0,False,False,False,"-ACTION 1: touched on button that has content-desc ""More options""
-ACTION 2: touched on button that has text ""Settings""
-ACTION 3: touched on button that has text ""Customize colors""
-ACTION 4: touched on button that has content-desc ""Navigate up""
-ACTION 5: pressed ""BACK"" button to navigate back
-ACTION 6: touched on button that has content-desc ""Change view""
-ACTION 7: touched on button that has text ""Monthly view""
-ACTION 8: touched on button that has content-desc ""New Event""
-ACTION 9: pressed ""BACK"" button to navigate back
-ACTION 10: pressed ""BACK"" button to navigate back
-ACTION 11: touched on button that has text ""October""
-ACTION 12: touched on button that has content-desc ""More options""
-ACTION 13: touched on button that has text ""Change view""
-ACTION 14: touched on button that has text ""Monthly view""
-ACTION 15: touched on button that has resource-id ""top_left_arrow""
- ACTION 16: Task completed?
","[False, False, False, False, False, True, False, False, False, False, False, False, False, False, False]"
calendar,"create a new event, the task is 'laundry', save it",d607ebfb905ff62cbda8cf94add2b1f6a0ecc9364a1d1465ebe35d6f9d11d4e3,15,3,15,3,15,0.2,False,False,0.0,False,False,False,"-ACTION 1: pressed ""BACK"" button to navigate back
-ACTION 2: pressed ""BACK"" button to navigate back
-ACTION 3: pressed ""BACK"" button to navigate back
-ACTION 4: pressed ""BACK"" button to navigate back
-ACTION 5: pressed ""BACK"" button to navigate back
-ACTION 6: pressed ""BACK"" button to navigate back
-ACTION 7: pressed ""BACK"" button to navigate back
-ACTION 8: pressed ""BACK"" button to navigate back
-ACTION 9: pressed ""BACK"" button to navigate back
-ACTION 10: pressed ""BACK"" button to navigate back
-ACTION 11: pressed ""BACK"" button to navigate back
-ACTION 12: touched on button that has content-desc ""New Event""
-ACTION 13: filled a focused textfield that has text ""Title"" with the text ""laundry""
-ACTION 14: touched on button that has text ""All-day OFF""
-ACTION 15: filled a focused textfield that has text ""laundry"" with the text ""laundry""
- ACTION 16: Task completed?
","[False, False, False, False, False, False, False, False, False, False, False, True, True, False, True]"
calendar,create an event of 'homework' with daily repetition and save it,201ab5fb0dbaa5da9673ce3b1fa4479ef7a17380437cbc87d4f4490f48e406fb,15,5,15,5,15,0.3333333333333333,False,False,0.13333333333333333,False,False,False,"-ACTION 1: touched on button that has content-desc ""New Event""
-ACTION 2: filled a focused textfield that has text ""Title"" with the text ""homework""
-ACTION 3: touched on button that has text ""All-day OFF""
-ACTION 4: touched on button that has text ""No repetition""
-ACTION 5: touched on button that has text ""Daily""
-ACTION 6: filled a focused textfield that has text ""homework"" with the text ""homework""
-ACTION 7: touched on button that has text ""All-day ON""
-ACTION 8: touched on button that has text ""Daily""
-ACTION 9: touched on button that has text ""No repetition""
-ACTION 10: touched on button that has text ""No repetition""
-ACTION 11: touched on button that has text ""Custom""
-ACTION 12: touched on button that has text ""days""
-ACTION 13: touched on button that has text ""weeks""
-ACTION 14: touched on button that has text ""months""
-ACTION 15: touched on button that has text ""years""
- ACTION 16: Task completed?
","[True, True, False, True, True, True, False, False, False, False, False, False, False, False, False]"
calendar,delete all the events in the Calendar app,346ab5c1aeef9922d6c572db14b5e0beaaa9e904f82c72aa0b561a8e6847cf89,15,4,15,3,15,0.2,False,False,0.0,False,False,False,"-ACTION 1: touched on button that has text ""OK""
-ACTION 2: touched on button that has content-desc ""More options""
-ACTION 3: touched on button that has text ""Settings""
-ACTION 4: touched on button that has text ""Delete all events""
-ACTION 5: pressed ""BACK"" button to navigate back
-ACTION 6: touched on button that has text ""Manage event types""
-ACTION 7: touched on button that has text ""Holidays""
-ACTION 8: touched on button that has resource-id ""type_color""
-ACTION 9: touched on button that has text ""OK""
-ACTION 10: filled a focused textfield that has text ""Holidays"" with the text ""None""
-ACTION 11: pressed ""BACK"" button to navigate back
-ACTION 12: pressed ""BACK"" button to navigate back
-ACTION 13: touched on button that has text ""Regular event""
-ACTION 14: filled a focused textfield that has text ""Regular event"" with the text ""delete""
-ACTION 15: touched on button that has resource-id ""type_color""
- ACTION 16: Task completed?
","[False, True, True, True, False, False, False, False, False, False, False, False, False, False, False]"
calendar,disable start week on Sunday,295bcdc418b1cc7f9f6359fcfda6096a0a80abcd0ef9f3e98990ddc859619e8c,16,3,3,2,3,0.6666666666666666,False,True,0.0,False,False,True,"-ACTION 1: touched on button that has text ""Regular event""
-ACTION 2: touched on button that has content-desc ""More options""
-ACTION 3: touched on button that has text ""Settings""","[False, True, True]"
calendar,export the events to test.ics under DCIM folder,913bea2ab07f13d5de0f335f3b4e6737ccf343f5768df50734a99a7f8c4c3f1b,16,7,7,4,7,0.5714285714285714,False,True,0.14285714285714285,False,False,True,"-ACTION 1: touched on button that has text ""OK""
-ACTION 2: touched on button that has content-desc ""Save""
-ACTION 3: touched on button that has resource-id ""event_show_on_map""
-ACTION 4: touched on button that has content-desc ""Navigate up""
-ACTION 5: touched on button that has content-desc ""More options""
-ACTION 6: touched on button that has text ""Export events to an .ics file""
-ACTION 7: touched on button that has text ""DCIM""","[True, False, False, False, True, True, True]"
calendar,search the task 'homework',d91f8aa367c47945a3d9344018a5a67330e86f3f8045cdfceb57dd9898a638df,15,2,15,0,15,0.0,False,False,0.0,False,False,False,"-ACTION 1: pressed ""BACK"" button to navigate back
-ACTION 2: pressed ""BACK"" button to navigate back
-ACTION 3: pressed ""BACK"" button to navigate back
-ACTION 4: pressed ""BACK"" button to navigate back
-ACTION 5: pressed ""BACK"" button to navigate back
-ACTION 6: pressed ""BACK"" button to navigate back
-ACTION 7: pressed ""BACK"" button to navigate back
-ACTION 8: pressed ""BACK"" button to navigate back
-ACTION 9: pressed ""BACK"" button to navigate back
-ACTION 10: pressed ""BACK"" button to navigate back
-ACTION 11: pressed ""BACK"" button to navigate back
-ACTION 12: pressed ""BACK"" button to navigate back
-ACTION 13: pressed ""BACK"" button to navigate back
-ACTION 14: pressed ""BACK"" button to navigate back
-ACTION 15: pressed ""BACK"" button to navigate back
- ACTION 16: Task completed?
","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
camera,add the last photo to favorite,53645938bb4cbd3a8b813cb94755a9cb9f03435201e2434f2549794debfc6043,15,2,15,1,15,0.06666666666666667,False,False,0.0,False,False,False,"-ACTION 1: touched on button that has content-desc ""Shutter""
-ACTION 2: touched on button that has content-desc ""Shutter""
-ACTION 3: pressed ""BACK"" button to navigate back
-ACTION 4: touched on button that has content-desc ""View last captured media""
-ACTION 5: touched on button that has content-desc ""Photo""
-ACTION 6: touched on button that has content-desc ""View last captured media""
-ACTION 7: touched on button that has content-desc ""Shutter""
-ACTION 8: touched on button that has content-desc ""View last captured media""
-ACTION 9: touched on button that has content-desc ""Shutter""
-ACTION 10: touched on button that has resource-id ""rate_star_5""
-ACTION 11: touched on button that has content-desc ""Video""
-ACTION 12: touched on button that has content-desc ""View last captured media""
-ACTION 13: touched on button that has content-desc ""Photo""
-ACTION 14: pressed ""BACK"" button to navigate back
-ACTION 15: touched on button that has resource-id ""top_options""
- ACTION 16: Task completed?
","[False, False, False, True, False, False, False, False, False, False, False, False, False, False, False]"
camera,check the size of the last photo I took,ad5db2054d44589eb3b7147401f2ae1c0798913348509e2d807f14b01f8e54be,15,2,15,1,15,0.06666666666666667,False,False,0.0,False,False,False,"-ACTION 1: touched on button that has content-desc ""Shutter""
-ACTION 2: touched on button that has content-desc ""View last captured media""
-ACTION 3: touched on button that has content-desc ""Photo""
-ACTION 4: touched on button that has content-desc ""Shutter""
-ACTION 5: pressed ""BACK"" button to navigate back
-ACTION 6: touched on button that has content-desc ""View last captured media""
-ACTION 7: touched on button that has content-desc ""Photo""
-ACTION 8: touched on button that has content-desc ""View last captured media""
-ACTION 9: touched on button that has content-desc ""Shutter""
-ACTION 10: touched on button that has content-desc ""View last captured media""
-ACTION 11: touched on button that has content-desc ""Video""
-ACTION 12: touched on button that has content-desc ""View last captured media""
-ACTION 13: touched on button that has content-desc ""Photo""
-ACTION 14: touched on button that has content-desc ""Toggle the timer mode""
-ACTION 15: touched on button that has content-desc ""View last captured media""
- ACTION 16: Task completed?
","[False, True, False, False, False, False, False, False, False, False, False, False, False, False, False]"
camera,close the shutter sound,021fff0acccbe1c0dfafbd6bd253eb6ec258063435d37c3698029446199aed32,16,2,2,1,2,0.5,False,True,0.0,False,False,True,"-ACTION 1: pressed ""BACK"" button to navigate back
-ACTION 2: touched on button that has content-desc ""Settings""","[False, True]"
camera,delete the last photo I took,63f463932b288fb1147e838ef6ba757e6f7b0460365988c6d555b846e4e6ae13,15,3,15,1,15,0.06666666666666667,False,False,0.06666666666666667,False,False,False,"-ACTION 1: touched on button that has content-desc ""View last captured media""
-ACTION 2: touched on button that has content-desc ""Settings""
-ACTION 3: touched on button that has class name ""android.widget.ImageButton""
-ACTION 4: touched on button that has resource-id ""top_options""
-ACTION 5: touched on button that has content-desc ""View last captured media""
-ACTION 6: touched on button that has resource-id ""photo_full""
-ACTION 7: touched on button that has content-desc ""Shutter""
-ACTION 8: touched on button that has content-desc ""Shutter""
-ACTION 9: touched on button that has content-desc ""Video""
-ACTION 10: touched on button that has content-desc ""View last captured media""
-ACTION 11: touched on button that has content-desc ""Shutter""
-ACTION 12: pressed ""BACK"" button to navigate back
-ACTION 13: pressed ""BACK"" button to navigate back
-ACTION 14: pressed ""BACK"" button to navigate back
-ACTION 15: pressed ""BACK"" button to navigate back
- ACTION 16: Task completed?
","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
camera,move the last photo I took to folder 'movies' in SD card,c61489b89b1946269ba75db899fa83619285bdf95ef0c0f2ef368ecb957e0115,15,8,15,1,15,0.06666666666666667,False,False,0.0,False,False,False,"-ACTION 1: pressed ""BACK"" button to navigate back
-ACTION 2: touched on button that has content-desc ""View last captured media""
-ACTION 3: touched on button that has content-desc ""Settings""
-ACTION 4: touched on button that has text ""Customize colors (Locked)""
-ACTION 5: pressed ""BACK"" button to navigate back
-ACTION 6: pressed ""BACK"" button to navigate back
-ACTION 7: pressed ""BACK"" button to navigate back
-ACTION 8: pressed ""BACK"" button to navigate back
-ACTION 9: pressed ""BACK"" button to navigate back
-ACTION 10: pressed ""BACK"" button to navigate back
-ACTION 11: pressed ""BACK"" button to navigate back
-ACTION 12: pressed ""BACK"" button to navigate back
-ACTION 13: pressed ""BACK"" button to navigate back
-ACTION 14: pressed ""BACK"" button to navigate back
-ACTION 15: pressed ""BACK"" button to navigate back
- ACTION 16: Task completed?
","[False, True, False, False, False, False, False, False, False, False, False, False, False, False, False]"
camera,open the last picture I took,01e2f71918a4dd3967a0ae182eb8cca6e7cd2036df595c471d864075f1f6e99e,15,1,15,1,15,0.06666666666666667,False,False,0.0,False,False,False,"-ACTION 1: pressed ""BACK"" button to navigate back
-ACTION 2: touched on button that has content-desc ""View last captured media""
-ACTION 3: touched on button that has content-desc ""Shutter""
-ACTION 4: touched on button that has content-desc ""Settings""
-ACTION 5: touched on button that has class name ""android.widget.ImageButton""
-ACTION 6: touched on button that has content-desc ""Video""
-ACTION 7: touched on button that has resource-id ""top_options""
-ACTION 8: pressed ""BACK"" button to navigate back
-ACTION 9: pressed ""BACK"" button to navigate back
-ACTION 10: pressed ""BACK"" button to navigate back
-ACTION 11: pressed ""BACK"" button to navigate back
-ACTION 12: pressed ""BACK"" button to navigate back
-ACTION 13: pressed ""BACK"" button to navigate back
-ACTION 14: pressed ""BACK"" button to navigate back
-ACTION 15: pressed ""BACK"" button to navigate back
- ACTION 16: Task completed?
","[False, True, False, False, False, False, False, False, False, False, False, False, False, False, False]"
camera,print the last picture I took as pic3.jpg,662705099f4ea6e5024a1b00b92256e07cba74c876f8ee1a1d35e3412f191c88,15,5,15,1,15,0.06666666666666667,False,False,0.0,False,False,False,"-ACTION 1: pressed ""BACK"" button to navigate back
-ACTION 2: touched on button that has content-desc ""View last captured media""
-ACTION 3: touched on button that has content-desc ""Shutter""
-ACTION 4: touched on button that has resource-id ""dialog_donate_image""
-ACTION 5: pressed ""BACK"" button to navigate back
-ACTION 6: pressed ""BACK"" button to navigate back
-ACTION 7: pressed ""BACK"" button to navigate back
-ACTION 8: pressed ""BACK"" button to navigate back
-ACTION 9: pressed ""BACK"" button to navigate back
-ACTION 10: pressed ""BACK"" button to navigate back
-ACTION 11: pressed ""BACK"" button to navigate back
-ACTION 12: pressed ""BACK"" button to navigate back
-ACTION 13: pressed ""BACK"" button to navigate back
-ACTION 14: pressed ""BACK"" button to navigate back
-ACTION 15: pressed ""BACK"" button to navigate back
- ACTION 16: Task completed?
","[False, True, False, False, False, False, False, False, False, False, False, False, False, False, False]"
camera,record a short video,d7bde5acb793b78e5728a5ae56c6471d1a387e466b08eb6ba4724dd3067e926e,16,3,3,3,3,1.0,True,True,1.0,False,False,True,"-ACTION 1: touched on button that has text ""Video""
-ACTION 2: touched on button that has content-desc ""Shutter""
-ACTION 3: touched on button that has content-desc ""Shutter""","[True, True, True]"
camera,rename the last photo to 'sunset',2d4caf6bbfdc3d4bb5cab7c76b7463417bfd3cc125ad5dbeafa4b614fa73c266,15,5,15,1,15,0.06666666666666667,False,False,0.06666666666666667,False,False,False,"-ACTION 1: touched on button that has content-desc ""View last captured media""
-ACTION 2: touched on button that has content-desc ""Settings""
-ACTION 3: touched on button that has text ""Customize colors (Locked)""
-ACTION 4: pressed ""BACK"" button to navigate back
-ACTION 5: pressed ""BACK"" button to navigate back
-ACTION 6: pressed ""BACK"" button to navigate back
-ACTION 7: pressed ""BACK"" button to navigate back
-ACTION 8: pressed ""BACK"" button to navigate back
-ACTION 9: pressed ""BACK"" button to navigate back
-ACTION 10: pressed ""BACK"" button to navigate back
-ACTION 11: pressed ""BACK"" button to navigate back
-ACTION 12: pressed ""BACK"" button to navigate back
-ACTION 13: pressed ""BACK"" button to navigate back
-ACTION 14: pressed ""BACK"" button to navigate back
-ACTION 15: pressed ""BACK"" button to navigate back
- ACTION 16: Task completed?
","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
camera,resize the last photo to 1000:473,3d888c7712cfaa77182531a889141279aaede4aedf48823c3b3717eff08e91f8,15,6,15,1,15,0.06666666666666667,False,False,0.06666666666666667,False,False,False,"-ACTION 1: touched on button that has content-desc ""View last captured media""
-ACTION 2: touched on button that has content-desc ""Shutter""
-ACTION 3: touched on button that has content-desc ""Shutter""
-ACTION 4: pressed ""BACK"" button to navigate back
-ACTION 5: touched on button that has content-desc ""View last captured media""
-ACTION 6: touched on button that has content-desc ""Resolution""
-ACTION 7: touched on button that has content-desc ""View last captured media""
-ACTION 8: touched on button that has content-desc ""Photo""
-ACTION 9: touched on button that has content-desc ""View last captured media""
-ACTION 10: touched on button that has content-desc ""Resolution""
-ACTION 11: touched on button that has content-desc ""Shutter""
-ACTION 12: touched on button that has content-desc ""View last captured media""
-ACTION 13: touched on button that has content-desc ""Video""
-ACTION 14: touched on button that has content-desc ""Resolution""
-ACTION 15: touched on button that has content-desc ""Shutter""
- ACTION 16: Task completed?
","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
